filename stability_measured stability_predicted
348-QH-Li.poscar_PrPmHgTl.vasp None 8.690831e-02
349-QH-Li.poscar_CdSmDyTl.vasp None 8.081805e-02
350-QH-Li.poscar_CdSmErTl.vasp None 7.812535e-02
351-QH-Li.poscar_AgSmEuTl.vasp None 8.790940e-02
352-QH-Li.poscar_CdSmEuTl.vasp None 8.261589e-02
353-QH-Li.poscar_CdSmHoTl.vasp None 7.723385e-02
354-QH-Li.poscar_SmHoHgTl.vasp None 7.941900e-02
355-QH-Li.poscar_CdNdSmTl.vasp None 8.054081e-02
356-QH-Li.poscar_NdSmHgTl.vasp None 7.881030e-02
357-QH-Li.poscar_CdPmSmTl.vasp None 8.027007e-02
358-QH-Li.poscar_PmSmHgTl.vasp None 7.643431e-02
359-QH-Li.poscar_InPmSmTl.vasp None 9.543083e-02
360-QH-Li.poscar_CdPrSmTl.vasp None 8.276222e-02
361-QH-Li.poscar_PrSmHgTl.vasp None 8.522404e-02
362-QH-Li.poscar_NaSrBaTl.vasp None 9.429246e-02
363-QH-Li.poscar_CdTbDyTl.vasp None 7.104598e-02
364-QH-Li.poscar_CdTbErTl.vasp None 7.692317e-02
365-QH-Li.poscar_CdTbHoTl.vasp None 7.029513e-02
366-QH-Li.poscar_TbHoHgTl.vasp None 9.304686e-02
367-QH-Li.poscar_CdNdTbTl.vasp None 8.071682e-02
368-QH-Li.poscar_NdTbHgTl.vasp None 8.936281e-02
369-QH-Li.poscar_CdPmTbTl.vasp None 9.217368e-02
370-QH-Li.poscar_PmTbHgTl.vasp None 8.496860e-02
371-QH-Li.poscar_CdPrTbTl.vasp None 9.038712e-02
372-QH-Li.poscar_PrTbHgTl.vasp None 7.937074e-02
373-QH-Li.poscar_CdSmTbTl.vasp None 8.669680e-02
374-QH-Li.poscar_SmTbHgTl.vasp None 8.060051e-02
375-QH-Li.poscar_InDyTmHg.vasp None 9.963298e-02
376-QH-Li.poscar_InEuTmHg.vasp None 9.607587e-02
377-QH-Li.poscar_ErTmIrPt.vasp None 9.397633e-02
378-QH-Li.poscar_PdDyTmPt.vasp None 8.618056e-02
379-QH-Li.poscar_PdErTmPt.vasp None 8.681003e-02
380-QH-Li.poscar_PdHoTmPt.vasp None 8.381178e-02
381-QH-Li.poscar_RhHoTmIr.vasp None 9.945257e-02
382-QH-Li.poscar_RhPdDyTm.vasp None 8.866255e-02
383-QH-Li.poscar_RhPdErTm.vasp None 7.900564e-02
384-QH-Li.poscar_RhPdHoTm.vasp None 8.534764e-02
385-QH-Li.poscar_RhDyTmPt.vasp None 9.132665e-02
386-QH-Li.poscar_RhErTmPt.vasp None 8.837117e-02
387-QH-Li.poscar_RhHoTmPt.vasp None 8.763652e-02
388-QH-Li.poscar_RuErTmPt.vasp None 9.416744e-02
389-QH-Li.poscar_RuHoTmPt.vasp None 9.879008e-02
390-QH-Li.poscar_DyTmHgTl.vasp None 9.058672e-02
391-QH-Li.poscar_InDyTmTl.vasp None 9.237548e-02
392-QH-Li.poscar_InErTmTl.vasp None 9.512418e-02
393-QH-Li.poscar_InEuTmTl.vasp None 9.973587e-02
394-QH-Li.poscar_InHoTmTl.vasp None 8.731895e-02
395-QH-Li.poscar_BeAlVFe.vasp None 4.554561e-02
396-QH-Li.poscar_AlVFeCo.vasp None 2.789712e-02
397-QH-Li.poscar_AlVCrFe.vasp None 9.201672e-02
398-QH-Li.poscar_VFeCoGe.vasp None 8.277493e-02
399-QH-Li.poscar_AlVCoIr.vasp None 9.288971e-02
400-QH-Li.poscar_AlVFeIr.vasp None 9.597935e-02
401-QH-Li.poscar_LiAlVCo.vasp None 9.175094e-02
402-QH-Li.poscar_LiAlVIr.vasp None 6.603584e-02
403-QH-Li.poscar_LiVGaIr.vasp None 3.293346e-02
404-QH-Li.poscar_BeAlVMn.vasp None 9.071312e-02
405-QH-Li.poscar_AlVMnCo.vasp None 7.646854e-02
406-QH-Li.poscar_AlVMnFe.vasp None 5.205002e-02
407-QH-Li.poscar_AlVCoNi.vasp None 8.069883e-02
408-QH-Li.poscar_AlVFeNi.vasp None 9.445294e-02
409-QH-Li.poscar_AlVCoOs.vasp None 9.695160e-02
410-QH-Li.poscar_AlVFeOs.vasp None 8.068998e-02
411-QH-Li.poscar_LiVGeOs.vasp None 3.782919e-02
412-QH-Li.poscar_LiVGaRh.vasp None 7.913906e-02
